First come first serve,,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
101,7,5,70,70,76,0,0,7
102,24,4,140,140,163,0,0,24
103,37,8,235,235,271,0,0,37
104,13,3,260,272,284,12,12,25
105,3,0,305,305,307,0,0,3
106,56,6,360,360,415,0,0,56
107,25,1,455,455,479,0,0,25
108,20,1,465,480,499,15,15,35
109,15,2,510,510,524,0,0,15
110,17,5,570,570,586,0,0,17
111,29,7,585,587,615,2,2,31
112,6,0,655,655,660,0,0,6
113,14,1,675,675,688,0,0,14
114,26,0,715,715,740,0,0,26
115,48,9,740,741,788,1,1,49
116,8,2,755,789,796,34,34,42
117,28,2,775,797,824,22,22,50
118,59,0,790,825,883,35,35,94
119,33,9,840,884,916,44,44,77
120,96,0,925,925,1020,0,0,96
121,28,0,1000,1021,1048,21,21,49
122,65,4,1050,1050,1114,0,0,65
123,37,2,1050,1115,1151,65,65,102
124,99,8,1055,1152,1250,97,97,196
125,22,7,1095,1251,1272,156,156,178
126,13,3,1165,1273,1285,108,108,121
127,23,8,1220,1286,1308,66,66,89
128,56,4,1275,1309,1364,34,34,90
129,30,6,1300,1365,1394,65,65,95
130,7,1,1310,1395,1401,85,85,92
131,99,7,1320,1402,1500,82,82,181
132,29,6,1365,1501,1529,136,136,165
133,32,2,1400,1530,1561,130,130,162
134,4,2,1420,1562,1565,142,142,146
135,21,2,1510,1566,1586,56,56,77
136,19,3,1520,1587,1605,67,67,86
137,44,2,1590,1606,1649,16,16,60
138,36,1,1655,1655,1690,0,0,36
139,9,1,1670,1691,1699,21,21,30
140,39,8,1700,1700,1738,0,0,39
141,21,0,1705,1739,1759,34,34,55
142,41,6,1720,1760,1800,40,40,81
143,15,7,1735,1801,1815,66,66,81
144,36,1,1760,1816,1851,56,56,92
145,38,0,1855,1855,1892,0,0,38
146,12,0,1920,1920,1931,0,0,12
147,4,9,1930,1932,1935,2,2,6
148,37,5,1935,1936,1972,1,1,38
149,34,7,1990,1990,2023,0,0,34
150,17,3,2000,2024,2040,24,24,41
,,,,,,,,
,,,,,Min,0,0,3
,,,,,Mean,34.70,34.70,65.32
,,,,,Max,156,156,196
,,,,,StdDev,43.67,43.67,49.75
