Round Robin,,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
101,7,5,70,70,76,0,0,7
102,24,4,140,140,163,0,0,24
103,37,8,235,235,281,10,0,47
104,13,3,260,265,284,12,5,25
105,3,0,305,305,307,0,0,3
106,56,6,360,360,415,0,0,56
107,25,1,455,455,499,20,0,45
108,20,1,465,465,494,10,0,30
109,15,2,510,510,524,0,0,15
110,17,5,570,570,586,0,0,17
111,29,7,585,587,615,2,2,31
112,6,0,655,655,660,0,0,6
113,14,1,675,675,688,0,0,14
114,26,0,715,715,740,0,0,26
115,48,9,740,741,826,39,1,87
116,8,2,755,761,768,6,6,14
117,28,2,775,779,834,32,4,60
118,59,0,790,809,916,68,19,127
119,33,9,840,845,907,35,5,68
120,96,0,925,925,1040,20,0,116
121,28,0,1000,1005,1048,21,5,49
122,65,4,1050,1050,1246,132,0,197
123,37,2,1050,1060,1176,90,10,127
124,99,8,1055,1070,1345,192,15,291
125,22,7,1095,1110,1188,72,15,94
126,13,3,1165,1209,1241,64,44,77
127,23,8,1220,1257,1309,67,37,90
128,56,4,1275,1287,1474,144,12,200
129,30,6,1300,1320,1405,76,20,106
130,7,1,1310,1330,1336,20,20,27
131,99,7,1320,1366,1615,197,46,296
132,29,6,1365,1376,1468,75,11,104
133,32,2,1400,1426,1546,115,26,147
134,4,2,1420,1436,1439,16,16,20
135,21,2,1510,1515,1576,46,5,67
136,19,3,1520,1525,1565,27,5,46
137,44,2,1590,1597,1649,16,7,60
138,36,1,1655,1655,1699,9,0,45
139,9,1,1670,1675,1683,5,5,14
140,39,8,1700,1700,1814,76,0,115
141,21,0,1705,1710,1790,65,5,86
142,41,6,1720,1720,1835,75,0,116
143,15,7,1735,1760,1805,56,25,71
144,36,1,1760,1770,1851,56,10,92
145,38,0,1855,1855,1892,0,0,38
146,12,0,1920,1920,1935,4,0,16
147,4,9,1930,1930,1933,0,0,4
148,37,5,1935,1936,1972,1,1,38
149,34,7,1990,1990,2040,17,0,51
150,17,3,2000,2000,2026,10,0,27
,,,,,,,,
,,,,,Min,0,0,3
,,,,,Mean,39.96,7.64,70.58
,,,,,Max,197,46,296
,,,,,StdDev,48.80,11.44,65.81
